WSN,WS Name,Agency,County,Population Served, Service Connections, Total Funding Request,latitude,longitude, Completed Date
1010005,FIREBAUGH CITY,DISTRICT 23 - FRESNO,FRESNO,7619,1642,N/A,36.8595402,-120.4548907,Have not applied
3410030,FOLSOM  CITY OF - ASHLAND,DISTRICT 09 - SACRAMENTO,SACRAMENTO,3538,1079,N/A,38.6820869,-121.1656584,Have not applied
3410014,FOLSOM  CITY OF - MAIN,DISTRICT 09 - SACRAMENTO,SACRAMENTO,68122,21424,N/A,38.6820869,-121.1656584,Have not applied
2310001,FORT BRAGG  CITY OF,DISTRICT 03 - MENDOCINO,MENDOCINO,7250,2951,N/A,39.4457502,-123.8042709,Have not applied
4710003,FORT JONES  TOWN OF,DISTRICT 01 - KLAMATH,SISKIYOU,675,362,N/A,41.6120868,-122.9642819,Have not applied
4200556,FOSTER ROAD MUTUAL WATER COMPANY,LPA72 - SANTA BARBARA COUNTY,SANTA BARBARA,150,49,N/A,34.882831,-120.435278,Have not applied
1500296,FULLER ACRES MUTUAL WATER COMPANY,DISTRICT 12 - VISALIA,KERN,545,165,N/A,35.2638398,-118.9121033,Have not applied
3410011,GALT  CITY OF,DISTRICT 09 - SACRAMENTO,SACRAMENTO,26536,7471,N/A,38.2648685,-121.3055039,Have not applied
1910043,GLENDALE-CITY  WATER DEPT.,DISTRICT 15 - METROPOLITAN,LOS ANGELES,205331,34288,N/A,34.1478242,-118.2470889,Have not applied
1910044,GLENDORA-CITY  WATER DEPT.,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,45355,13744,N/A,34.1353015,-117.864934,Have not applied
3010047,GOLDEN STATE WC - COWAN HEIGHTS,DISTRICT 08 - SANTA ANA,ORANGE,7236,2526,N/A,33.8567403,-117.8855202,Have not applied
4310022,GREAT OAKS WC INC,DISTRICT 17 - SANTA CLARA,SANTA CLARA,103590,21399,N/A,37.2382765,-121.7749986,Have not applied
2710008,GREENFIELD  CITY OF,DISTRICT 05 - MONTEREY,MONTEREY,17517,3772,N/A,36.1828098,-121.3998995,Have not applied
5510009,GROVELAND COMMUNITY SERV DIST,DISTRICT 11 - MERCED,TUOLUMNE,3400,3255,N/A,37.8492572,-119.9277947,Have not applied
4010004,GROVER BEACH WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,13549,4933,N/A,35.1209064,-120.6219221,Have not applied
1610003,HANFORD  CITY OF,DISTRICT 12 - VISALIA,KINGS,17626,17879,N/A,36.3154138,-119.6378732,Have not applied
3610017,HAVASU WC,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,361,224,N/A,34.7275112,-114.5955356,Have not applied
1310007,HEBER PUBLIC UTILITY DISTRICT,DISTRICT 14 - SAN DIEGO,IMPERIAL,6979,1632,N/A,32.728849,-115.5336437,Have not applied
3610112,HELENDALE COMMUNITY SERVICE DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,5849,2830,N/A,34.7347059,-117.3294195,Have not applied
3310016,HEMET  CITY OF,DISTRICT 20 - RIVERSIDE,RIVERSIDE,32600,9872,N/A,33.7310936,-117.0110837,Have not applied
1805007,HERLONG PUBLIC UTILITY DISTRICT,DISTRICT 02 - LASSEN,LASSEN,2114,297,N/A,40.1462051,-120.1170664,Have not applied
3610024,HESPERIA WD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,97846,27149,N/A,34.4272116,-117.3167473,Have not applied
3610073,HI DESERT WD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,25653,10766,N/A,34.1169785,-116.4543813,Have not applied
1710015,HIDDEN VALLEY LAKE CSD,DISTRICT 03 - MENDOCINO,LAKE,8227,2490,N/A,38.7976248,-122.5537574,Have not applied
3301775,HIGH VALLEYS WATER DISTRICT,DISTRICT 20 - RIVERSIDE,RIVERSIDE,762,231,N/A,33.8690106,-116.8286124,Have not applied
1710003,HIGHLANDS MUTUAL WATER COMPANY,DISTRICT 03 - MENDOCINO,LAKE,9494,2878,N/A,38.9510968,-122.6394683,Have not applied
3510001,HOLLISTER  CITY OF,DISTRICT 05 - MONTEREY,SAN BENITO,23358,7561,N/A,36.8512386,-121.403338,Have not applied
5010008,HUGHSON  CITY OF,DISTRICT 10 - STOCKTON,STANISLAUS,6082,2065,N/A,37.5939016,-120.8613785,Have not applied
